,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
171,Rajpur Sonarpur Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
172,Rajpur Sonarpur Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
173,Baruipur Municipality,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
174,Baruipur Municipality,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
175,Baruipur Municipality,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
176,Baruipur Municipality,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
177,Baruipur Municipality,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
178,Baruipur Municipality,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
179,Baruipur Municipality,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
180,Baruipur Municipality,22.570539474487305,88.3712387084961,Platform #9B,22.568036450605884,88.37140049238124,Platform,This spot is popular,general
181,Baruipur Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
182,Baruipur Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
183,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
184,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
185,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
186,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
187,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
188,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
189,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
190,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Platform #9B,22.568036450605884,88.37140049238124,Platform,This spot is popular,general
191,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
192,Jaynagar Majilpur Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
193,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
194,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
195,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
196,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
197,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
198,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
199,Chandannagar Municipal Corporation,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
