,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
89,Rohini Sub City,28.642963409423828,77.11587524414062,Starbucks,28.642140194894882,77.10662155044157,Coffee Shop,This spot is popular,general
90,Rohini Sub City,28.642963409423828,77.11587524414062,Dunkin' Donuts,28.647672873345584,77.11986854552532,Donut Shop,This spot is popular,general
91,Rohini Sub City,28.642963409423828,77.11587524414062,Mad Over Donuts,28.64233575995254,77.10649583072777,Donut Shop,This spot is popular,general
92,Rohini Sub City,28.642963409423828,77.11587524414062,AMPM Cafè and Bar,28.647697136503293,77.1199503622103,Café,This spot is popular,general
93,Rohini Sub City,28.642963409423828,77.11587524414062,Carl's Jr.,28.64223988792683,77.10642659451979,Fast Food Restaurant,This spot is popular,general
94,Rohini Sub City,28.642963409423828,77.11587524414062,Pirates Of Grill,28.647457664213135,77.1182942511344,BBQ Joint,This spot is popular,general
95,Rohini Sub City,28.642963409423828,77.11587524414062,Pind Balluchi,28.647641867628284,77.12035608652683,Indian Restaurant,This spot is popular,general
96,Rohini Sub City,28.642963409423828,77.11587524414062,Gloria Jean's Coffees,28.642222516770108,77.10666720344585,Café,This spot is popular,general
97,Rohini Sub City,28.642963409423828,77.11587524414062,Lifestyle Store,28.642456716012106,77.10651248983024,Shopping Mall,This spot is popular,general
98,Rohini Sub City,28.642963409423828,77.11587524414062,The California Boulevard,28.647734971643725,77.12004976458275,Diner,This spot is popular,general
99,Rohini Sub City,28.642963409423828,77.11587524414062,Bikanerwala,28.648670512180882,77.12272854612813,Indian Restaurant,This spot is popular,general
100,Rohini Sub City,28.642963409423828,77.11587524414062,McDonald's,28.649892855335075,77.12079131649215,Fast Food Restaurant,This spot is popular,general
101,Rohini Sub City,28.642963409423828,77.11587524414062,Dunkin' Donuts,28.642628,77.10658,Donut Shop,This spot is popular,general
102,Rohini Sub City,28.642963409423828,77.11587524414062,PVR Premiere,28.642450976245378,77.10660880282632,Multiplex,This spot is popular,general
103,Rohini Sub City,28.642963409423828,77.11587524414062,Wok In the Clouds,28.647384257623433,77.1193295511815,Pub,This spot is popular,general
104,Rohini Sub City,28.642963409423828,77.11587524414062,Spaghetti Kitchen,28.642186662979878,77.10660453958414,Italian Restaurant,This spot is popular,general
105,Rohini Sub City,28.642963409423828,77.11587524414062,Cocoa,28.642321947670553,77.10677785902901,Restaurant,This spot is popular,general
106,Rohini Sub City,28.642963409423828,77.11587524414062,Cafe Coffee Day,28.649834123094454,77.12154099560865,Café,This spot is popular,general
